Kontonr;Bogført dato;Navn;Leverandørnr;Posteringstekst;Nettobeløb;Beløb;Afdelingsnr;Bilagsidentifikation;Regnskabsår;Udbetalt dato;Kassenr;;;;;
527-32-080-05;03-03-2025;;;Salg restaurantuge 5;-4.032,00;-4.032,00;34010;2503031740987872500;2025;;111;;;;;
527-32-080-05;03-03-2025;;;Salg restaurant uge 6;-3.589,50;-3.589,50;34010;2503031740987872500;2025;;111;;;;;
527-32-080-05;03-03-2025;;;Salg restaurant uge 7;-4.243,00;-4.243,00;34010;2503031740987872500;2025;;111;;;;;
527-32-080-05;03-03-2025;;;Salg restaurant uge 8;-3.316,50;-3.316,50;34010;2503031740987872500;2025;;111;;;;;
527-32-080-05;27-02-2025;;;Salg restaurant uge 3;-3.569,00;-3.569,00;34010;2502271740649496895;2025;;111;;;;;
527-32-080-05;27-02-2025;;;Salg restaurant uge 4;-4.392,00;-4.392,00;34010;2502271740649496895;2025;;111;;;;;
527-32-080-05;21-01-2025;;;Salg restaurant uge 1;-1.185,00;-1.185,00;34010;2501211737457369372;2025;;111;;;;;
527-32-080-05;21-01-2025;;;Salg restaurant uge 2;-5.532,00;-5.532,00;34010;2501211737457369372;2025;;111;;;;;
527-32-080-05;13-01-2025;;;Cafesalg uge 1;-1.665,00;-1.665,00;34010;2501131736756380630;2025;;111;;;;;
527-32-081-02;18-12-2025;;;Differencer uge 48;107,00;107,00;34010;2512181766068911952;2025;;111;;;;;
527-32-081-02;18-12-2025;;;Differencer uge 49;687,00;687,00;34010;2512181766070511960;2025;;111;;;;;
527-32-081-02;11-12-2025;;;Differencer uge 46;211,00;211,00;34010;2512111765449771338;2025;;111;;;;;
527-32-081-02;30-10-2025;;;Differencer uge 42;101,00;101,00;34010;2510301761816713918;2025;;111;;;;;
527-32-081-02;16-09-2025;;;Differencer uge 30;63,00;63,00;34010;2509161758023372792;2025;;111;;;;;
527-32-081-02;16-09-2025;;;Differencer uge 35;15,00;15,00;34010;2509161758023820794;2025;;111;;;;;
527-32-081-02;15-09-2025;;;Differencer uge 34;151,00;151,00;34010;2509151757937164265;2025;;111;;;;;
527-32-081-02;11-06-2025;;;Differencer uge 19;576,00;576,00;34010;2506111749633482685;2025;;111;;;;;
527-32-081-02;15-05-2025;;;Differencer 18;-5,00;-5,00;34010;2505151747295160348;2025;;111;;;;;
527-32-081-02;29-04-2025;;;Differencer 14;-16,00;-16,00;34010;2504291745916356439;2025;;111;;;;;
527-32-081-02;26-03-2025;;;Differencer 11;-32,00;-32,00;34010;2503261742991491755;2025;;111;;;;;
527-32-081-02;03-03-2025;;;Differencer uge 6;104,00;104,00;34010;2503031740987872500;2025;;111;;;;;
527-32-081-02;03-03-2025;;;Differencer uge 7;63,00;63,00;34010;2503031740987872500;2025;;111;;;;;
527-32-081-02;27-02-2025;;;Differencer uge 4;32,00;32,00;34010;2502271740649496895;2025;;111;;;;;
527-32-081-02;21-01-2025;;;Differencer uge 1;-61,00;-61,00;34010;2501211737457369372;2025;;111;;;;;
527-32-081-02;21-01-2025;;;Differencer uge 2;-35,00;-35,00;34010;2501211737457369372;2025;;111;;;;;
527-32-004-03;31-12-2025;;;Månedsløn bagud december XB;318.571,88;318.571,88;;SD2025-12-19-07.21.53.509181;2025;;800;;;;;
527-32-004-03;30-11-2025;;;Månedsløn bagud november XB;311.881,83;311.881,83;;SD2025-11-21-09.20.51.099023;2025;;800;;;;;
527-32-004-03;04-11-2025;;;Timeløn XB;15.913,76;15.913,76;;SD2025-11-05-00.50.48.101958;2025;;800;;;;;
527-32-004-03;31-10-2025;;;Månedsløn bagud oktober XB;311.586,43;311.586,43;;SD2025-10-24-05.37.40.302662;2025;;800;;;;;
